1,ConClusion,DreamZoneGD,qd1m,96471171,"~55,000",No,https://www.youtube.com/watch?v=A4DIqkAHa8E,Extreme,,,,,,,,,,,,,,,,,
2,shimmer (Amplitron),Amplitron,qxwr,94156085,"23,407",Yes,https://youtu.be/qANQKBkuKtg?si=DVUzGNHqn9BAoRmb,Extreme,,,,,,,,,,,,,,,,,
3,Amalgam,XLSpiral,Aero,95675702,-,Yes,https://youtu.be/YSVs7R1cYQE?si=sMHpsKPhrWmwtxnz,Extreme,,,,,,,,,,,,,,,,,
4,Bloodlust,Knobbelboy,RTwoSix,42584142,"35,022",No,https://youtu.be/n7g1v769h2g?si=EF_kYtGDE09noD5A,Extreme,,,,,,,,,,,,,,,,,
5,Spectrum Cyclone,lTemp,ThirtyOnee,59209010,-,No,https://youtu.be/Q_0LZPu7msw?si=jOpft1H5L2S3iVV5,Extreme,,,,,,,,,,,,,,,,,
6,Fog,notesxd,ThirtyOnee,90853661,"~32,000",No,https://youtu.be/-16MqTnMamw?si=u8mrb0hSeG_pwtCy,Extreme,,,,,,,,,,,,,,,,,
7,ATOMIC CANNON,LIEB,ThirtyOnee,77681476,"104,669",No,https://youtu.be/J-0vkKSo8Yk?si=SZeg_F9923CNWA3c,Extreme,,,,,,,,,,,,,,,,,
8,Storming Summit,IINimbusII,Aero,76653933,31795,No,https://youtu.be/q7zdRh6xNg8?feature=shared,Extreme,,,,,,,,,,,,,,,,,
9,Aquatic Auroras,EndLevel,Stasiu150,60740290,"18,262",No,https://youtu.be/5pJCu77JsEM?si=cBjbAq6emX-QqQRG,Extreme,,,,,,,,,,,,,,,,,
10,Ploink,Goobfrudla,dpoopoop,96590328,37458,Yes,https://www.youtube.com/watch?v=2d6jzxTobKw,Extreme,,,,,,,,,,,,,,,,,
11,Sonic Wave,lSunix,RTwoSix,26681070,27981,No,https://youtu.be/3e_05FDedVU?si=E5-hZ8NY2mXAXwDN,Extreme,,,,,,,,,,,,,,,,,
12,Sonic Wave Rebirth,Serponge,RTwoSix,68688849,"2,314",No,https://youtu.be/dNurTFOVf9g?si=sPRenlsViIWBMSoB,Extreme,,,,,,,,,,,,,,,,,
13,Erebus,BoldStep,RTwoSix,31462941,"20,389",No,https://youtu.be/ljJIRoksDOM?si=06uup5l0ndgSIGZn,Extreme,,,,,,,,,,,,,,,,,
14,Yatagarasu,TrusTa,RTwoSix,28220417,"12,456",No,https://youtu.be/aD25RtACVto?si=pyhVvOg6kVHUubgK,Extreme,,,,,,,,,,,,,,,,,
15,Kuzureta,Teno,Niknames,71216292,68810,No,https://youtu.be/--7HSlZv3t0?si=aJxBm2sINAfN1xta,Extreme,,,,,,,,,,,,,,,,,
16,Timor,Colorbolt,Stasiu150,65969451,"4,593",No,https://youtu.be/oi55jbcPb60?si=nXVKLbprimjDC7Hr,Extreme,,,,,,,,,,,,,,,,,
17,Chromatic Haze,Cirtrax,Aero,62869408,40149,No,https://www.youtube.com/watch?v=HnnWG6ti04c,Extreme,,,,,,,,,,,,,,,,,
18,Stalemate Redux,GdTheTactiq,RTwoSix,37398911,16112,No,https://youtu.be/2OYr7uTHCww?si=gai9xVTrpksRCS_4,Extreme,,,,,,,,,,,,,,,,,
19,Delta Interface,Platnuu,Stasiu150,45094581,"4,552",No,https://youtu.be/EcxpxLRh5RY?si=LDYUF-dg9c_7XYKL,Extreme,,,,,,,,,,,,,,,,,
20,Killbot,Lithifusion,FishyFox84,38754426,"~50,000",No,https://www.youtube.com/watch?v=UQvPvOGYdpw,Extreme,,,,,,,,,,,,,,,,,
21,Artificial Ascent,Viprin,Stasiu150,27122654,"3,799",No,https://www.youtube.com/watch?v=318IgIS9zhI&t=0s,Extreme,,,,,,,,,,,,,,,,,
22,Quantum Processing,Riot,RTwoSix,38235367,21597,Yes,https://youtu.be/w8is9SbyfBg?si=EydrfGHU2f6t7-Jl,Extreme,,,,,,,,,,,,,,,,,
23,Black Blizzard,Krmal,Stasiu150,34057654,"4,349",No,https://youtu.be/UVCAI-1B0RU?si=JDTCVPXvzx0Fdp_6,Extreme,,,,,,,,,,,,,,,,,
24,distraught,Alkali,Stasiu150,55224007,"3,987",No,https://youtu.be/I0l2GkJACoc?si=tHdedkC2gLR8cET4,Extreme,,,,,,,,,,,,,,,,,
25,Auditory Breaker,LazerBlitz,RTwoSix,51791710,"5,766",No,https://youtu.be/cxnRh8kHyys?si=kuZ-sSv6WYGw8tev,Extreme,,,,,,,,,,,,,,,,,
26,Hyper Paradox,ItsHybrid,Aero,61531210,4843,No,https://www.youtube.com/watch?v=wZ7RuzwM84w,Extreme,,,,,,,,,,,,,,,,,
27,DMG CTRL,GhostVandalf,Stasiu150,73733373,"3,229",No,https://youtu.be/cS_OeZjQJBg?si=oGLNy4sd18unJBPL,Extreme,,,,,,,,,,,,,,,,,
28,Shock Therapy,Arb71743,Stasiu150,57121503,"4,847",No,https://youtu.be/g8_DhaqXd1I?si=-eglgG-A_R8YG9bq,Extreme,,,,,,,,,,,,,,,,,
29,SubSonic,ViPriN,FDeFran,33387622,"13,428",Yes,https://youtu.be/l-Thw4GyapU?si=QXLA8PXxTJSUVaA9,Extreme,,,,,,,,,,,,,,,,,
30,Dolos,Enzeux,Stasiu150,58417850,"2,709",No,https://youtu.be/nPqCHpQbS5Q?si=hEcU0M3lPfSAgpTg,Extreme,,,,,,,,,,,,,,,,,
31,i hate you,AlrexX,qd1m,68323859,"~25,000",No,https://www.youtube.com/watch?v=ELyV8d5c5mk,Extreme,,,,,,,,,,,,,,,,,
32,Mujigae,Freaklin,Stasiu150,38765979,"1,957",No,https://www.youtube.com/watch?v=TRhYGu5vTuM,Extreme,,,,,,,,,,,,,,,,,
33,New Record,Temp,Stasiu150,76760593,">2,500",No,https://youtu.be/rOSJRv5yftM?si=bHOQUWXXinWKsJhg,Extreme,,,,,,,,,,,,,,,,,
34,Ithacropolis,BIGMAC77,Stasiu150,41149984,"2,014",No,https://youtu.be/bpTzjydWuIY?si=ldR6RkoSalRkEpuh,Extreme,,,,,,,,,,,,,,,,,
35,DARKENED,BIANOX,Stasiu150,66085306,"2,117",No,https://youtu.be/9NbkpVHI3WI?si=AWeSlqY0AE5nm2uZ,Extreme,,,,,,,,,,,,,,,,,
36,EnvY,DanZmeN,Stasiu150,45411361,"1,681",No,https://youtu.be/UR8HYjHDP9g?si=8BaFckf5yF8HdvWi,Extreme,,,,,,,,,,,,,,,,,
37,Athanatos,Exenity,RTwoSix,26133601,"6,256",No,https://youtu.be/r2Gn3kTfJcI?si=EuIk8H2QylK5mZwP,Extreme,,,,,,,,,,,,,,,,,
38,Carnage Mode,Findexi,RTwoSix,36107975,"3,631",No,https://youtu.be/TQP9NKLiGyM?si=VLXxpNSFYkJeh16T,Extreme,,,,,,,,,,,,,,,,,
39,Blade of Justice,Manix648,RTwoSix,35448603,4666,No,https://youtu.be/el0kU7Kxlww?si=Fdfiv2WTofqoGp3e,Extreme,,,,,,,,,,,,,,,,,
40,Betrayal of Fate,weoweoteo,RTwoSix,20329544,-,No,https://youtu.be/-HbZxdlsNUc?si=Nwlrzy6Azdo7_67J,Extreme,,,,,,,,,,,,,,,,,
41,ABEL,Dienid,dpoopoop,86595871,-,No,https://youtu.be/o-Rn6Xaz0JM?si=9-G9jvTf7zEoki-W,Extreme,,,,,,,,,,,,,,,,,
42,Inside,Hypno,Sfericzox,114321891,"6,788",No,https://www.youtube.com/watch?v=j3KVUb7FnHU,Extreme,,,,,,,,,,,,,,,,,
43,Ecstasy,SleyGD,zMolten,65249411,-,No,https://youtu.be/dgFFuz1gKjs?si=T_hgwmdcggb4ZAK3,Extreme,,,,,,,,,,,,,,,,,
44,Bloodbath,Riot,RTwoSix,10565740,7271,No,https://youtu.be/DqKNvkPTH4M?si=z-yHjPT4Nybkv4iI,Extreme,,,,,,,,,,,,,,,,,
45,Idols,ZafkielGD,Bustrige,48175126,-,Yes,https://youtu.be/6aLQyXR1K44?si=glS3LS2MV0FQ_V0E,Extreme,,,,,,,,,,,,,,,,,
46,Down Bass,Spectruh,PotatoDaMan,8147005,"22,326",No,https://youtu.be/WRQIMJ2MG6c?si=WQUT-l1PkzqZu-2N,Extreme,,,,,,,,,,,,,,,,,
47,Prismatic Haze,Cirtrax,qxwr,59899374,"2,122",No,https://youtu.be/wVeg3hM6WTM?si=-DlE_rSsLh7q9UhI,Extreme,,,,,,,,,,,,,,,,,
48,cytokinesis,cherryteam,Niknames,93752979,9206,No,https://youtu.be/1ui10fmeVq8?si=xn7rc-Bn_G2WIEOg,Extreme,,,,,,,,,,,,,,,,,
49,Quaoar,Viprin,Niknames,80177488,8035,No,https://youtu.be/StU1zD3wOl4?si=jwFC7xQVJ3jRfQUP,Extreme,,,,,,,,,,,,,,,,,
50,Lotus,ZeroSR,dpoopoop,104619741,"7,370",No,https://youtu.be/uXKzgWK8YvU?si=N0FUfDfgy7daogBi,Extreme,,,,,,,,,,,,,,,,,
51,1330x,ewop,qd1m,78374157,-,No,https://www.youtube.com/watch?v=St2euzsn92Y,Extreme,,,,,,,,,,,,,,,,,
52,aftermath,IIExenityII,RTwoSix,25610878,3379,Yes,https://youtu.be/w2k1CkAcx-Q?si=SZqrL0IyscnZSBpo,Extreme,,,,,,,,,,,,,,,,,
53,Annihilation Nation,Zylenox,qxwr,480031,836,No,https://youtu.be/VAbTfMm6Bwc?si=4TimKKShv1VaL330,Extreme,,,,,,,,,,,,,,,,,
54,Hopping Over Puddles,J27Blaze,Aero,96383314,,No,https://youtu.be/1_8dMhLaXLg?feature=shared,Extreme,,,,,,,,,,,,,,,,,
55,Niflheim,Vismuth,3point1,30194711,-,No,https://youtu.be/1_8dMhLaXLg?feature=shared,Extreme,,,,,,,,,,,,,,,,,
56,Heartbeat,KrmaL,RTwoSix,20321297,-,No,https://youtu.be/urXbk3kcM4Q?si=5zwSM_fnl5_H85cr,Extreme,,,,,,,,,,,,,,,,,
57,INNARDS,Kaito,Bustrige,54588072,"16,876",No,https://youtu.be/Mx98IDEG64g?si=t1QvqnBc-mRIzWVM,Extreme,,,,,,,,,,,,,,,,,
58,Audio Extraction,GoodSmile,Stasiu150,22434793,-,No,https://youtu.be/_OqwHdY6q4g?si=NsrcocjJhepTmAXE,Extreme,,,,,,,,,,,,,,,,,
59,Shimmer (Mercury6779),Mercury6779,qxwr,114510471,704,No,https://youtu.be/uT1OtpccwuM?si=gaJOpDnGA-vuIgo4,Extreme,,,,,,,,,,,,,,,,,
60,Volume,Metalface221,Bustrige,48020496,4265,No,https://youtu.be/6HSckvSxvHY?si=K2BGERs2yAPD-uq3,Extreme,,,,,,,,,,,,,,,,,
61,headlock,pocke,Xeoscorp,94353238,-,No,https://youtu.be/MqGrDJSKzZE?si=p3gCUYmY8JG-B0bH,Extreme,,,,,,,,,,,,,,,,,
62,Dumbest Girl Alive,Renn241,3point1,90064781,-,No,https://youtu.be/QSh1711Pmxo?si=yfxhPU1MdbKc9lGS,Extreme,,,,,,,,,,,,,,,,,
63,Shukufuku,joker179114,qxwr,93916671,553,No,https://youtu.be/eysPgB0GxM4?si=k-Xz6O23efggyyfu,Extreme,,,,,,,,,,,,,,,,,
64,Red World Rebirth,Riot,RTwoSix,20077821,2087,Yes,https://youtu.be/0XHdds8qWQY?si=txef7nrpkfd-7LaC,Extreme,,,,,,,,,,,,,,,,,
65,Psychotic,ch4rlie03,dpoopoop,89277532,-,No,https://youtu.be/lNKBBkSVAes?si=-OHm1K0rG6T1b56f,Extreme,,,,,,,,,,,,,,,,,
66,The Ultimate Phase,Andromeda GMD,RTwoSix,7174110,7654,No,https://youtu.be/30GBdm1oJ0w?si=Piq-iqvlUhqUNKlR,Extreme,,,,,,,,,,,,,,,,,
67,Deception Dive,Rustam,Xeoscorp,34379100,-,No,https://youtu.be/bRyEIiiVbE0?si=W3b0-K0-b0SbXDss,Extreme,,,,,,,,,,,,,,,,,
68,OXI,Sycro,Aero,103411024,,No,https://youtu.be/2zLo3AQPqBQ?feature=shared,Extreme,,,,,,,,,,,,,,,,,
69,Broken Signal,Grax,Aero,69104884,-,No,https://youtu.be/vAs19hfAr9k?feature=shared,Extreme,,,,,,,,,,,,,,,,,
70,TROLLMACHINE,TROLLM4CHINE,PotatoDaMan,84325817,-,No,https://youtu.be/ooa2VMGvqEM?si=5I7rHyYMCGN9YTjc,Extreme,,,,,,,,,,,,,,,,,
71,La Llorona,cherryteam,RTwoSix,92362284,5991,No,https://youtu.be/qdmLcc7EiPo?si=3R7FKukfHpljAbK-,Extreme,,,,,,,,,,,,,,,,,
72,ILOVECYAN,AVRG,LobsterLicker69,78119012,-,No,https://www.youtube.com/watch?v=X0vX9kuQREU,Extreme,,,,,,,,,,,,,,,,,
73,nightparty,Rlol,Bustrige,39242117,"5,970",Yes,https://youtu.be/2PT0SloyStc?si=JXhkvGbJ4l3vHXcb,Extreme,,,,,,,,,,,,,,,,,
74,Vignette,fCrouley,Sfericzox,70132215,4765,No,https://youtu.be/Uu50shwXF38?si=OduqK1sd0CIF5JoW,Extreme,,,,,,,,,,,,,,,,,
75,Crowd Control,Movietheaters,Aero,69491632,,No,https://youtu.be/crDpg3oSXys?feature=shared,Extreme,,,,,,,,,,,,,,,,,
76,Hypersonic,Viprin,Xeoscorp,30219145,-,No,https://www.youtube.com/watch?v=hRaq-0Foy6Y,Extreme,,,,,,,,,,,,,,,,,
77,Master Duel,Zylenox,Xeoscorp,57359114,-,No,https://youtu.be/hcdFADua0V0?si=yuk5lgAcfmmCyv3D,Insane,,,,,,,,,,,,,,,,,
78,Duelo Maestro,Nacho21,Xeoscorp,23298409,-,No,https://www.youtube.com/watch?v=l5wSX_QMfbc,Insane,,,,,,,,,,,,,,,,,
79,Penombre,ZephiroX,Bustrige,48454650,"9,187",Yes,https://youtu.be/gWpy4qKDXBc?si=Vo6_SdCBwk0U4L7S,Extreme,,,,,,,,,,,,,,,,,
80,Cataclysm,Ggb0y,RTwoSix,3979721,3575,No,https://youtu.be/Spqqvm1HaV4?si=ucvHXlN3FfF4xxkZ,Extreme,,,,,,,,,,,,,,,,,
81,BLACKLIGHTS,Findexi,qxwr,36107975,-,No,https://youtu.be/nzd1jRlMbCc?si=wHUDdeeHocGCn_uz,Extreme,,,,,,,,,,,,,,,,,
82,Shimmering Chamber,Devilmine,qxwr,93726172,810,No,https://youtu.be/onqF8UvzrTw?si=UqYZgkU7PsRgWFCH,Extreme,,,,,,,,,,,,,,,,,
83,Forbidden Isle,Sillow,qxwr,63775846,"2,896",No,https://www.youtube.com/watch?v=ntwfv59VQYI,Extreme,,,,,,,,,,,,,,,,,
84,FISH FISH GODMODE,whoiskeve,PotatoDaMan,89807521,-,No,https://youtu.be/hM4DfNXenjM?si=sdmT-bKwQj6cxFK2,Extreme,,,,,,,,,,,,,,,,,
85,Incipient,Jenkins,DeadVoxelx,32688321,-,No,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Extreme,,,,,,,,,,,,,,,,,
86,niflhel,IShardI,3point1,90197147,-,No,https://youtu.be/Om3nmONRuHA?si=aWN7IJSpYP6BPyFP,Extreme,,,,,,,,,,,,,,,,,
87,Through The Decay,sparktwo,qxwr,114933189,"1,102",No,https://www.youtube.com/watch?v=aD2P1SeAYhs,Extreme,,,,,,,,,,,,,,,,,
88,Disruption,Ka1sa,qxwr,78687216,725,No,https://www.youtube.com/watch?v=hS8fT0P0MqU,Extreme,,,,,,,,,,,,,,,,,
89,Helios,Canonlaw,Dom,71728635,-,No,https://www.youtube.com/watch?v=HfOi8rkdjZw,Extreme,,,,,,,,,,,,,,,,,
90,SIGSEGV,Sminx,dpoopoop,61936205,-,No,https://youtu.be/u-DuYamApqc?si=2zZo2hYrOkdqP3Z2,Extreme,,,,,,,,,,,,,,,,,
91,GLISTEN,Squizaaard,dpoopoop,74924716,-,No,https://youtu.be/z6aRPgwjlSg?si=3090q-SoBNy9hArD,Extreme,,,,,,,,,,,,,,,,,
92,Azurite,Sillow,Aero,62214792,-,No,https://youtu.be/Z0xB8KvBuQs?si=a0BxSb9dnw0CTgMx,Extreme,,,,,,,,,,,,,,,,,
93,phantasmogoria (whlt),whlt,Aero,76670086,-,Yes,https://youtu.be/h14ZVHEwukM?feature=shared,Extreme,,,,,,,,,,,,,,,,,
94,9blue,Sardina,Xeoscorp,95061038,-,No,https://www.youtube.com/watch?v=joXwJYlWG1s,Extreme,,,,,,,,,,,,,,,,,
95,Uprise,Astroboyzzz,ThirtyOnee,14977845,-,No,https://www.youtube.com/watch?v=8_v6Cs2QJmM,Extreme,,,,,,,,,,,,,,,,,
96,Devils Disco,SoDaZ,Sfericzox,75350544,-,No,https://www.youtube.com/watch?v=cNk7bxHUGLY,Extreme,,,,,,,,,,,,,,,,,
97,niwa,Teno,Aero,87425029,-,No,https://youtu.be/2B_aYyIxK7A?si=MuAPPwszeg_xcH-w,Extreme,,,,,,,,,,,,,,,,,
